Model;Country;Currency;Hub Type;Specific Hub;Curriculum;Fee;Value;Invoice;Notes
Hybrid;South Africa;Rand (R);Powered by BGA;Durban High School;Own Curriculum;Annual Registration Fee;3 000;School;
Hybrid;South Africa;Rand (R);Powered by BGA;Hugenot High School;British Curriculum;Admissions Fee;3 000;?;
Hybrid;South Africa;Rand (R);Powered by BGA;Hugenot High School;US Curriculum;Admissions Fee;?;?;
Hybrid;South Africa;Rand (R);Powered by BGA;Hugenot High School;Own Curriculum;Admissions Fee;3 000;?;
Hybrid;South Africa;Rand (R);Powered by BGA;Hugenot High School;British Curriculum;Monthly Fee;3 000;?;
Hybrid;South Africa;Rand (R);Powered by BGA;Hugenot High School;US Curriculum;Monthly Fee;9 900;?;
Hybrid;South Africa;Rand (R);Powered by BGA;Hugenot High School;Own Curriculum;Monthly Fee;2 000;?;
Hybrid;South Africa;Rand (R);Powered by BGA;Hugenot High School;British Curriculum;Annual Registration Fee;3 000;?;
Hybrid;South Africa;Rand (R);Powered by BGA;Hugenot High School;US Curriculum;Annual Registration Fee;3 000;?;
Hybrid;South Africa;Rand (R);Powered by BGA;Hugenot High School;Own Curriculum;Annual Registration Fee;3 000;?;
Online;Region 3;US Dollar ($);Online;N/A;Portuguese;Admissions Fee;450;Parents;
Online;Region 3;US Dollar ($);Online;N/A;British Curriculum;Admissions Fee;500;Parents;
Online;Region 3;US Dollar ($);Online;N/A;US Curriculum;Admissions Fee;500;Parents;
Online;Region 3;US Dollar ($);Online;N/A;Portuguese;Monthly Fee;360;Parents;+90 to CEI
Online;Region 3;US Dollar ($);Online;N/A;British Curriculum;Monthly Fee;225;Parents;
Online;Region 3;US Dollar ($);Online;N/A;US Curriculum;Monthly Fee;500;Parents;
Online;Region 3;US Dollar ($);Online;N/A;Portuguese;Annual Registration Fee;170;Parents;
Online;Region 3;US Dollar ($);Online;N/A;British Curriculum;Annual Registration Fee;200;Parents;
Online;Region 3;US Dollar ($);Online;N/A;US Curriculum;Annual Registration Fee;200;Parents;
Online;Region 1;US Dollar ($);Online;N/A;Portuguese;Admissions Fee;450;Parents;
Online;Region 1;US Dollar ($);Online;N/A;British Curriculum;Admissions Fee;500;Parents;
Online;Region 1;US Dollar ($);Online;N/A;US Curriculum;Admissions Fee;500;Parents;
Online;Region 1;US Dollar ($);Online;N/A;Portuguese;Monthly Fee;360;Parents;
Online;Region 1;US Dollar ($);Online;N/A;British Curriculum;Monthly Fee;850;Parents;
Online;Region 1;US Dollar ($);Online;N/A;US Curriculum;Monthly Fee;850;Parents;
Online;Region 1;US Dollar ($);Online;N/A;Portuguese;Annual Registration Fee;170;Parents;
Online;Region 1;US Dollar ($);Online;N/A;British Curriculum;Annual Registration Fee;200;Parents;
Online;Region 1;US Dollar ($);Online;N/A;US Curriculum;Annual Registration Fee;200;Parents;
Online;Region 2;US Dollar ($);Online;N/A;Portuguese;Admissions Fee;450;Parents;
Online;Region 2;US Dollar ($);Online;N/A;British Curriculum;Admissions Fee;500;Parents;
Online;Region 2;US Dollar ($);Online;N/A;US Curriculum;Admissions Fee;500;Parents;
Online;Region 2;US Dollar ($);Online;N/A;Portuguese;Monthly Fee;360;Parents;
Online;Region 2;US Dollar ($);Online;N/A;British Curriculum;Monthly Fee;500;Parents;
Online;Region 2;US Dollar ($);Online;N/A;US Curriculum;Monthly Fee;700;Parents;
Online;Region 2;US Dollar ($);Online;N/A;Portuguese;Annual Registration Fee;170;Parents;
Online;Region 2;US Dollar ($);Online;N/A;British Curriculum;Annual Registration Fee;200;Parents;
Online;Region 2;US Dollar ($);Online;N/A;US Curriculum;Annual Registration Fee;200;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;UP Business;Level Admissions Fee;1 350;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;UP Business;Monthly Fee;695;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;UP Business;Level Admissions Fee;1 450;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;UP Business;Monthly Fee;850;Parents;
Hybrid;USA;Dollar ($);Independent;N/A;UP Business;Level Admissions Fee;1 550;Parents;
Hybrid;USA;Dollar ($);Independent;N/A;UP Business;Monthly Fee;1 100;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;UP Business;Level Admissions Fee;27 000;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;UP Business;Monthly Fee;7 000;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;UP Business;Level Admissions Fee;27 000;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;UP Business;Monthly Fee;4 900;Parents;
Hybrid;Mozambique;Metical (MZN);Independent;N/A;UP Business;Level Admissions Fee;105 000;Parents;
Hybrid;Mozambique;Metical (MZN);Independent;N/A;UP Business;Monthly Fee;45 000;Parents;
Hybrid;Kenya;Kenyan Shilling (KSH);Independent;N/A;UP Business;Level Admissions Fee;200 000;Parents;
Hybrid;Kenya;Kenyan Shilling (KSH);Independent;N/A;UP Business;Monthly Fee;45 000;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;UP Computer Science;Level Admissions Fee;1 350;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;UP Computer Science;Monthly Fee;695;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;UP Computer Science;Level Admissions Fee;1 450;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;UP Computer Science;Monthly Fee;850;Parents;
Hybrid;USA;Dollar ($);Independent;N/A;UP Computer Science;Level Admissions Fee;1 550;Parents;
Hybrid;USA;Dollar ($);Independent;N/A;UP Computer Science;Monthly Fee;1 100;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;UP Computer Science;Level Admissions Fee;27 000;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;UP Computer Science;Monthly Fee;7 000;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;UP Computer Science;Level Admissions Fee;27 000;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;UP Computer Science;Monthly Fee;4 900;Parents;
Hybrid;Mozambique;Metical (MZN);Independent;N/A;UP Computer Science;Level Admissions Fee;105 000;Parents;
Hybrid;Mozambique;Metical (MZN);Independent;N/A;UP Computer Science;Monthly Fee;45 000;Parents;
Hybrid;Kenya;Kenyan Shilling (KSH);Independent;N/A;UP Computer Science;Level Admissions Fee;200 000;Parents;
Hybrid;Kenya;Kenyan Shilling (KSH);Independent;N/A;UP Computer Science;Monthly Fee;45 000;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;UP Sports & Leisure;Level Admissions Fee;1 650;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;UP Sports & Leisure;Monthly Fee;695;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;UP Sports & Leisure;Level Admissions Fee;1 750;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;UP Sports & Leisure;Monthly Fee;850;Parents;
Hybrid;USA;Dollar ($);Independent;N/A;UP Sports & Leisure;Level Admissions Fee;1 850;Parents;
Hybrid;USA;Dollar ($);Independent;N/A;UP Sports & Leisure;Monthly Fee;1 100;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;UP Sports & Leisure;Level Admissions Fee;32 000;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;UP Sports & Leisure;Monthly Fee;7 000;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;UP Sports & Leisure;Level Admissions Fee;32 000;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;UP Sports & Leisure;Monthly Fee;4 900;Parents;
Hybrid;Mozambique;Metical (MZN);Independent;N/A;UP Sports & Leisure;Level Admissions Fee;120 000;Parents;
Hybrid;Mozambique;Metical (MZN);Independent;N/A;UP Sports & Leisure;Monthly Fee;45 000;Parents;
Hybrid;Kenya;Kenyan Shilling (KSH);Independent;N/A;UP Sports & Leisure;Level Admissions Fee;240 000;Parents;
Hybrid;Kenya;Kenyan Shilling (KSH);Independent;N/A;UP Sports & Leisure;Monthly Fee;45 000;Parents;
Online;Region 1;US Dollar ($);Online;N/A;UP Business;Level Admissions Fee;1 500;Parents;
Online;Region 1;US Dollar ($);Online;N/A;UP Business;Monthly Fee;850;Parents;
Online;Region 2;US Dollar ($);Online;N/A;UP Business;Level Admissions Fee;1 500;Parents;
Online;Region 2;US Dollar ($);Online;N/A;UP Business;Monthly Fee;500;Parents;
Online;Region 3;US Dollar ($);Online;N/A;UP Business;Level Admissions Fee;1 500;Parents;
Online;Region 3;US Dollar ($);Online;N/A;UP Business;Monthly Fee;300;Parents;
Online;Region 1;US Dollar ($);Online;N/A;UP Computer Science;Level Admissions Fee;1 500;Parents;
Online;Region 1;US Dollar ($);Online;N/A;UP Computer Science;Monthly Fee;850;Parents;
Online;Region 2;US Dollar ($);Online;N/A;UP Computer Science;Level Admissions Fee;1 500;Parents;
Online;Region 2;US Dollar ($);Online;N/A;UP Computer Science;Monthly Fee;500;Parents;
Online;Region 3;US Dollar ($);Online;N/A;UP Computer Science;Level Admissions Fee;1 500;Parents;
Online;Region 3;US Dollar ($);Online;N/A;UP Computer Science;Monthly Fee;300;Parents;
Online;Region 1;US Dollar ($);Online;N/A;UP Sports & Leisure;Level Admissions Fee;1 850;Parents;
Online;Region 1;US Dollar ($);Online;N/A;UP Sports & Leisure;Monthly Fee;850;Parents;
Online;Region 2;US Dollar ($);Online;N/A;UP Sports & Leisure;Level Admissions Fee;1 850;Parents;
Online;Region 2;US Dollar ($);Online;N/A;UP Sports & Leisure;Monthly Fee;500;Parents;
Online;Region 3;US Dollar ($);Online;N/A;UP Sports & Leisure;Level Admissions Fee;1 850;Parents;
Online;Region 3;US Dollar ($);Online;N/A;UP Sports & Leisure;Monthly Fee;300;Parents;
Hybrid;South Africa;Rand (R);Powered by BGA;N/A;British Curriculum;Admissions Fee;4 000;School;waived for the first year of agreement
Hybrid;South Africa;Rand (R);Powered by BGA;N/A;US Curriculum;Admissions Fee;4 000;School;waived for the first year of agreement
Hybrid;South Africa;Rand (R);Powered by BGA;N/A;Own Curriculum;Admissions Fee;4 000;School;waived for the first year of agreement
Hybrid;South Africa;Rand (R);Powered by BGA;N/A;British Curriculum;Monthly Fee;3 500;School;
Hybrid;South Africa;Rand (R);Powered by BGA;N/A;US Curriculum;Monthly Fee;6 500;School;
Hybrid;South Africa;Rand (R);Powered by BGA;N/A;Own Curriculum;Monthly Fee;2 000;School;
Hybrid;South Africa;Rand (R);Powered by BGA;N/A;British Curriculum;Annual Registration Fee;4 000;School;
Hybrid;South Africa;Rand (R);Powered by BGA;N/A;US Curriculum;Annual Registration Fee;4 000;School;
Hybrid;South Africa;Rand (R);Powered by BGA;N/A;Own Curriculum;Annual Registration Fee;4 000;School;
